sample_name,protocol,organism,read1,read2,read_type,anno_name,TSS_name
104_40142810_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
104_42965310_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
104_42965310_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
104_44580803_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
104_44580803_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
104_47381505_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
104_47381505_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
104_48442603_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
104_48442603_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
104_48833210_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
104_48833210_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
105_40772705_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
105_40772705_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
105_43178510_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
105_43178510_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
105_44408210_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
105_44408210_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
105_48181106_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
105_48181106_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
105_48343804_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
105_48343804_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
105_49798106_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
105_49798106_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
