sample_name	protocol	organism	read1	read2	read_type	anno_name	TSS_name	File_mb	Read_type	Genome	Raw_reads	Fastq_reads	Trimmed_reads	Trim_loss_rate	Aligned_reads_rCRSd	Alignment_rate_rCRSd	Aligned_reads_human_repeats	Alignment_rate_human_repeats	Mapped_reads	QC_filtered_reads	Aligned_reads	Alignment_rate	Total_efficiency	Mitochondrial_reads	NRF	PBC1	PBC2	Unmapped_reads	Duplicate_reads	Dedup_aligned_reads	Dedup_alignment_rate	Dedup_total_efficiency	TSS_Score	Peak_count	FRiP	Time	Success
106_42881811_st	ATAC	human	ATAC_UF_SQB104/fastq_files_combined/106_42881811_st_R1.fastq.gz	ATAC_UF_SQB104/fastq_files_combined/106_42881811_st_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1321.8043	paired	hg38	28134080	28134080	28134022	0.0	7852074.0	27.91	1444178.0	5.13	18455409	1175999.0	17279410	61.42	61.42	10837.0	0.87	0.93	14.64	382361.0	567557	16711853.0	59.4	59.4	11.0894241968	22755	0.124309394823	2:14:11	12-16-03:05:17
106_42881811_un	ATAC	human	ATAC_UF_SQB104/fastq_files_combined/106_42881811_un_R1.fastq.gz	ATAC_UF_SQB104/fastq_files_combined/106_42881811_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1896.1116	paired	hg38	40450062	40450062	40450026	0.0	9905356.0	24.49	2232070.0	5.52	27868052	1745566.0	26122486	64.58	64.58	13518.0	0.87	0.93	14.07	444548.0	892037	25230449.0	62.37	62.37	11.0254002786	23679	0.125153096072	15:40:06	12-15-14:32:49
106_42898811_st	ATAC	human	ATAC_UF_SQB104/fastq_files_combined/106_42898811_st_R1.fastq.gz	ATAC_UF_SQB104/fastq_files_combined/106_42898811_st_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1460.0485	paired	hg38	30896828	30896828	30896752	0.0	4250452.0	13.76	1711816.0	5.54	24488886	1541730.0	22947156	74.27	74.27	6369.0	0.81	0.9	9.49	445598.0	1196239	21750917.0	70.4	70.4	15.4511695056	30111	0.195242321096	2:24:05	12-16-03:15:04
106_42898811_un	ATAC	human	ATAC_UF_SQB104/fastq_files_combined/106_42898811_un_R1.fastq.gz	ATAC_UF_SQB104/fastq_files_combined/106_42898811_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	2119.0319	paired	hg38	45036162	45036162	45036070	0.0	7223290.0	16.04	2169070.0	4.82	34964925	2185197.0	32779728	72.79	72.79	9628.0	0.82	0.9	10.05	678785.0	1684695	31095033.0	69.04	69.04	17.1492682807	39222	0.274733823295	5:26:38	12-16-06:17:37
106_42951611_st	ATAC	human	ATAC_UF_SQB104/fastq_files_combined/106_42951611_st_R1.fastq.gz	ATAC_UF_SQB104/fastq_files_combined/106_42951611_st_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1401.8495	paired	hg38	28275994	28275994	28275946	0.0	3616812.0	12.79	1722564.0	6.09	22583546	1536974.0	21046572	74.43	74.43	4726.0	0.88	0.94	15.47	353024.0	663790	20382782.0	72.09	72.09	10.5858208018	21801	0.105225116945	4:33:55	12-16-05:24:55
106_42951611_un	ATAC	human	ATAC_UF_SQB104/fastq_files_combined/106_42951611_un_R1.fastq.gz	ATAC_UF_SQB104/fastq_files_combined/106_42951611_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1537.813	paired	hg38	32645108	32645108	32645026	0.0	6298604.0	19.29	1610342.0	4.93	24268872	1519216.0	22749656	69.69	69.69	8992.0	0.85	0.92	12.19	467208.0	930566	21819090.0	66.84	66.84	16.6031241915	31401	0.242252542192	4:41:45	12-16-05:32:44
106_42957411_st	ATAC	human	ATAC_UF_SQB104/fastq_files_combined/106_42957411_st_R1.fastq.gz	ATAC_UF_SQB104/fastq_files_combined/106_42957411_st_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1228.4405	paired	hg38	26217218	26217218	26217180	0.0	6185068.0	23.59	1168542.0	4.46	18558097	1083831.0	17474266	66.65	66.65	10374.0	0.87	0.93	13.62	305473.0	620462	16853804.0	64.29	64.29	15.0339534088	26822	0.201900669247	4:29:36	12-16-05:20:35
106_42957411_un	ATAC	human	ATAC_UF_SQB104/fastq_files_combined/106_42957411_un_R1.fastq.gz	ATAC_UF_SQB104/fastq_files_combined/106_42957411_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1987.3376	paired	hg38	42236758	42236758	42236708	0.0	8748450.0	20.71	2056482.0	4.87	30910401	1793797.0	29116604	68.94	68.94	14599.0	0.86	0.93	13.47	521375.0	1077102	28039502.0	66.39	66.39	16.029337952	30977	0.230556558038	4:09:02	12-17-08:17:58
106_43455511_st	ATAC	human	ATAC_UF_SQB104/fastq_files_combined/106_43455511_st_R1.fastq.gz	ATAC_UF_SQB104/fastq_files_combined/106_43455511_st_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1621.5792	paired	hg38	34559520	34559520	34559394	0.0	5296168.0	15.32	1761454.0	5.1	27006911	1822761.0	25184150	72.87	72.87	9737.0	0.83	0.91	10.82	494861.0	1173204	24010946.0	69.48	69.48	17.4745020626	35589	0.249238390019	2:48:35	12-15-01:42:48
106_43455511_un	ATAC	human	ATAC_UF_SQB104/fastq_files_combined/106_43455511_un_R1.fastq.gz	ATAC_UF_SQB104/fastq_files_combined/106_43455511_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1788.1965	paired	hg38	38127776	38127776	38127570	0.0	7329504.0	19.22	1728948.0	4.53	28548246	1877730.0	26670516	69.95	69.95	13056.0	0.81	0.9	10.03	520872.0	1363626	25306890.0	66.37	66.37	18.0024080011	38880	0.294613422552	4:24:50	12-16-05:15:49
