sample_name,protocol,organism,read1,read2,read_type,anno_name,TSS_name
101_48959210_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_48959210_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_40491511_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_40491511_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_43867401_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_43867401_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_45413410_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_45413410_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_41188405_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_41188405_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_44229704_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_44229704_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_48260510_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_48260510_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_42203510_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_42203510_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_43896503_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_43896503_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_47079411_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_47079411_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_48869010_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_48869010_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_42153404_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
101_42153404_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
