sample_name,protocol,organism,read1,read2,read_type,anno_name,TSS_name
107_41138811_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
107_41185703_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
107_42014404_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
107_42324210_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
107_42674005_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
107_44146006_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
107_45065310_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
107_45747903_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
107_45881010_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
107_46720311_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
107_46806606_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
107_47190105_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
107_47323911_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
107_47582203_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
107_47828604_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
107_47873505_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
Islet_02142019_1,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
Islet_02142019_2,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
Islet_02142019_3,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
Islet_04242019_1,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
Islet_04242019_2,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
Islet_04242019_3,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
Islet_05072019_1,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
Islet_05072019_2,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
Islet_05072019_3,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
