sample_name	protocol	organism	read1	read2	read_type	anno_name	TSS_name	File_mb	Read_type	Genome	Raw_reads	Fastq_reads	Trimmed_reads	Trim_loss_rate	Aligned_reads_rCRSd	Alignment_rate_rCRSd	Aligned_reads_human_repeats	Alignment_rate_human_repeats	Mapped_reads	QC_filtered_reads	Aligned_reads	Alignment_rate	Total_efficiency	Mitochondrial_reads	NRF	PBC1	PBC2	Unmapped_reads	Duplicate_reads	Dedup_aligned_reads	Dedup_alignment_rate	Dedup_total_efficiency	TSS_Score	Peak_count	FRiP	Time	Success
107_41138811_un	ATAC	human	ATAC_UF_SQB105/fastq_files_combined/107_41138811_un_R1.fastq.gz	ATAC_UF_SQB105/fastq_files_combined/107_41138811_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1462.9915	paired	hg38	31642874	31642874	31642806	0.0	1597056.0	5.05	1904518.0	6.02	27723698	1846628.0	25877070	81.78	81.78	1765.0	0.95	0.97	36.61	417534.0	370211	25506859.0	80.61	80.61	13.9475840506	33250	0.166009366594	3:06:42	12-16-05:35:22
107_41185703_un	ATAC	human	ATAC_UF_SQB105/fastq_files_combined/107_41185703_un_R1.fastq.gz	ATAC_UF_SQB105/fastq_files_combined/107_41185703_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	3725.2538	paired	hg38	79744724	79744724	79744548	0.0	12028694.0	15.08	3250534.0	4.08	63274204	3824472.0	59449732	74.55	74.55	17166.0	0.89	0.94	18.84	1191116.0	2033127	57416605.0	72.0	72.0	19.7814638585	64055	0.415010214007	5:42:14	12-16-08:10:55
107_42014404_un	ATAC	human	ATAC_UF_SQB105/fastq_files_combined/107_42014404_un_R1.fastq.gz	ATAC_UF_SQB105/fastq_files_combined/107_42014404_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	2985.6006	paired	hg38	65455478	65455478	65455198	0.0	6735586.0	10.29	3248856.0	4.96	54703567	3422173.0	51281394	78.35	78.35	6003.0	0.93	0.96	28.14	767189.0	1005602	50275792.0	76.81	76.81	14.7164352661	45722	0.204147219555	5:18:40	12-16-07:47:25
107_42324210_un	ATAC	human	ATAC_UF_SQB105/fastq_files_combined/107_42324210_un_R1.fastq.gz	ATAC_UF_SQB105/fastq_files_combined/107_42324210_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	399.7047	paired	hg38	8398448	8398448	8398428	0.0	413470.0	4.92	559846.0	6.67	7328020	532116.0	6795904	80.92	80.92	421.0	0.96	0.98	48.4	97092.0	70282	6725622.0	80.08	80.08	9.73184651857	12536	0.0609008014239	1:59:05	12-16-04:28:17
107_42674005_un	ATAC	human	ATAC_UF_SQB105/fastq_files_combined/107_42674005_un_R1.fastq.gz	ATAC_UF_SQB105/fastq_files_combined/107_42674005_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1434.9275	paired	hg38	31128322	31128322	31128258	0.0	1617402.0	5.2	1747152.0	5.61	27435930	1680706.0	25755224	82.74	82.74	1721.0	0.95	0.97	37.03	327774.0	361469	25393755.0	81.58	81.58	13.2030637691	30032	0.154699372834	3:07:33	12-16-05:36:43
107_44146006_un	ATAC	human	ATAC_UF_SQB105/fastq_files_combined/107_44146006_un_R1.fastq.gz	ATAC_UF_SQB105/fastq_files_combined/107_44146006_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	2468.3092	paired	hg38	53515020	53515020	53514954	0.0	1906720.0	3.56	3545438.0	6.63	47535289	2984325.0	44550964	83.25	83.25	2188.0	0.95	0.97	37.87	527507.0	593139	43957825.0	82.14	82.14	5.06605926148	15363	0.0274699779785	4:52:56	12-16-07:22:12
107_45065310_un	ATAC	human	ATAC_UF_SQB105/fastq_files_combined/107_45065310_un_R1.fastq.gz	ATAC_UF_SQB105/fastq_files_combined/107_45065310_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	505.7054	paired	hg38	10729232	10729232	10729222	0.0	771772.0	7.19	635494.0	5.92	9192350	572986.0	8619364	80.34	80.34	1088.0	0.95	0.98	39.86	129606.0	110344	8509020.0	79.31	79.31	15.1486670326	23598	0.182150910438	2:59:03	12-16-05:28:45
107_45747903_un	ATAC	human	ATAC_UF_SQB105/fastq_files_combined/107_45747903_un_R1.fastq.gz	ATAC_UF_SQB105/fastq_files_combined/107_45747903_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	659.3784	paired	hg38	13899452	13899452	13899420	0.0	1798628.0	12.94	572850.0	4.12	11353947	655007.0	10698940	76.97	76.97	1791.0	0.95	0.97	37.74	173995.0	152468	10546472.0	75.88	75.88	19.2611485049	33662	0.329535168905	2:02:35	12-16-04:32:18
107_45881010_un	ATAC	human	ATAC_UF_SQB105/fastq_files_combined/107_45881010_un_R1.fastq.gz	ATAC_UF_SQB105/fastq_files_combined/107_45881010_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1260.0974	paired	hg38	26847034	26847034	26846984	0.0	5166408.0	19.24	1078890.0	4.02	20276316	1214886.0	19061430	71.0	71.0	5779.0	0.93	0.96	26.48	325370.0	391884	18669546.0	69.54	69.54	18.2380087313	40534	0.30175191473	2:38:15	12-16-05:07:59
107_46720311_un	ATAC	human	ATAC_UF_SQB105/fastq_files_combined/107_46720311_un_R1.fastq.gz	ATAC_UF_SQB105/fastq_files_combined/107_46720311_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1136.2331	paired	hg38	24356722	24356722	24356686	0.0	2675332.0	10.98	1239632.0	5.09	20160131	1247881.0	18912250	77.65	77.65	3509.0	0.95	0.97	36.99	281591.0	269681	18642569.0	76.54	76.54	15.3253563876	33095	0.218935134635	2:45:03	12-16-05:15:22
