sample_name	protocol	organism	read1	read2	read_type	anno_name	TSS_name	File_mb	Read_type	Genome	Raw_reads	Fastq_reads	Trimmed_reads	Trim_loss_rate	Aligned_reads_rCRSd	Alignment_rate_rCRSd	Aligned_reads_human_repeats	Alignment_rate_human_repeats	Mapped_reads	QC_filtered_reads	Aligned_reads	Alignment_rate	Total_efficiency	Mitochondrial_reads	NRF	PBC1	PBC2	Unmapped_reads	Duplicate_reads	Dedup_aligned_reads	Dedup_alignment_rate	Dedup_total_efficiency	TSS_Score	Peak_count	FRiP	Time	Success
101_48959210_s	ATAC	human	ATAC_UF_SQB101/fastq_files_combined/101_48959210_s_R1.fastq.gz	ATAC_UF_SQB101/fastq_files_combined/101_48959210_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1605.7334	paired	hg38	34283324	34283324	34252480	0.09	4441466.0	12.97	2284228.0	6.67	26904989	2023121.0	24881868	72.64	72.58	7038.0	0.53	0.72	3.39	621797.0	3360360	21521508.0	62.83	62.78	11.9097094221	24720	0.104682574476	2:22:40	12-15-03:39:55
101_48959210_u	ATAC	human	ATAC_UF_SQB101/fastq_files_combined/101_48959210_u_R1.fastq.gz	ATAC_UF_SQB101/fastq_files_combined/101_48959210_u_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1363.1314	paired	hg38	28869230	28869230	28850148	0.07	6590756.0	22.84	1602910.0	5.56	19972280	1393398.0	18578882	64.4	64.36	9795.0	0.55	0.74	3.63	684202.0	2384112	16194770.0	56.13	56.1	17.3057331904	34896	0.239150611969	2:49:08	12-15-01:43:49
101_40491511_s	ATAC	human	ATAC_UF_SQB101/fastq_files_combined/101_40491511_s_R1.fastq.gz	ATAC_UF_SQB101/fastq_files_combined/101_40491511_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1093.0066	paired	hg38	23472710	23472710	23461976	0.05	2709270.0	11.55	1568020.0	6.68	18754078	1425202.0	17328876	73.86	73.83	5005.0	0.82	0.91	10.39	430608.0	813236	16515640.0	70.39	70.36	11.5446669292	22490	0.120633848381	2:11:36	12-15-00:53:08
101_40491511_u	ATAC	human	ATAC_UF_SQB101/fastq_files_combined/101_40491511_u_R1.fastq.gz	ATAC_UF_SQB101/fastq_files_combined/101_40491511_u_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	2428.1618	paired	hg38	52112218	52112218	52072492	0.08	12571494.0	24.14	2629486.0	5.05	35623255	2453889.0	33169366	63.7	63.65	22012.0	0.56	0.74	3.73	1248257.0	4201358	28968008.0	55.63	55.59	18.3319976673	40595	0.28507614526	1:57:01	12-15-00:38:58
101_43867401_s	ATAC	human	ATAC_UF_SQB101/fastq_files_combined/101_43867401_s_R1.fastq.gz	ATAC_UF_SQB101/fastq_files_combined/101_43867401_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	2376.0892	paired	hg38	51159188	51159188	51111506	0.09	11234964.0	21.98	3079334.0	6.02	35802180	2712900.0	33089280	64.74	64.68	15425.0	0.5	0.7	3.08	995028.0	4824198	28265082.0	55.3	55.25	12.9268862986	33533	0.144870060636	3:07:52	12-15-04:25:07
101_43867401_u	ATAC	human	ATAC_UF_SQB101/fastq_files_combined/101_43867401_u_R1.fastq.gz	ATAC_UF_SQB101/fastq_files_combined/101_43867401_u_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1466.8812	paired	hg38	31397852	31397852	31375792	0.07	9737304.0	31.03	1540134.0	4.91	19368696	1369914.0	17998782	57.37	57.32	13129.0	0.7	0.84	5.92	729658.0	1493701	16505081.0	52.6	52.57	17.1766743649	39395	0.294076899204	10:15:48	12-15-11:32:41
101_45413410_s	ATAC	human	ATAC_UF_SQB101/fastq_files_combined/101_45413410_s_R1.fastq.gz	ATAC_UF_SQB101/fastq_files_combined/101_45413410_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1169.1189	paired	hg38	24653366	24653366	24653206	0.0	5479130.0	22.22	1442738.0	5.85	17329911	1183397.0	16146514	65.49	65.49	11197.0	0.85	0.92	12.83	401427.0	623259	15523255.0	62.97	62.97	14.9534276621	28548	0.230821711733	9:40:32	12-15-08:23:04
101_45413410_u	ATAC	human	ATAC_UF_SQB101/fastq_files_combined/101_45413410_u_R1.fastq.gz	ATAC_UF_SQB101/fastq_files_combined/101_45413410_u_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1116.9613	paired	hg38	23566916	23566916	23562014	0.02	5783632.0	24.55	1495568.0	6.35	15743520	1137034.0	14606486	61.99	61.98	10791.0	0.71	0.84	6.16	539294.0	1152973	13453513.0	57.1	57.09	12.7162851052	26100	0.164618649551	2:07:07	12-15-03:24:35
101_41188405_s	ATAC	human	ATAC_UF_SQB101/fastq_files_combined/101_41188405_s_R1.fastq.gz	ATAC_UF_SQB101/fastq_files_combined/101_41188405_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1411.0581	paired	hg38	29625388	29625388	29624578	0.0	5685472.0	19.19	1818946.0	6.14	21601883	1468515.0	20133368	67.96	67.96	8806.0	0.63	0.8	4.8	518277.0	2089163	18044205.0	60.91	60.91	17.7085371481	31801	0.264149098154	2:13:19	12-15-00:55:51
101_41188405_u	ATAC	human	ATAC_UF_SQB101/fastq_files_combined/101_41188405_u_R1.fastq.gz	ATAC_UF_SQB101/fastq_files_combined/101_41188405_u_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1161.72	paired	hg38	24261574	24261574	24235328	0.11	6483296.0	26.75	1643060.0	6.78	15692218	1116342.0	14575876	60.14	60.08	10067.0	0.58	0.76	4.06	416754.0	1725634	12850242.0	53.02	52.97	14.822303761	25534	0.184890294072	1:41:40	12-15-02:59:08
101_44229704_s	ATAC	human	ATAC_UF_SQB101/fastq_files_combined/101_44229704_s_R1.fastq.gz	ATAC_UF_SQB101/fastq_files_combined/101_44229704_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1017.3192	paired	hg38	21320754	21320754	21264618	0.26	4930424.0	23.19	1380638.0	6.49	14383247	1084501.0	13298746	62.54	62.37	7613.0	0.45	0.66	2.8	570309.0	2155273	11143473.0	52.4	52.27	15.0568751541	22569	0.152482271637	2:07:39	12-15-00:50:39
101_44229704_u	ATAC	human	ATAC_UF_SQB101/fastq_files_combined/101_44229704_u_R1.fastq.gz	ATAC_UF_SQB101/fastq_files_combined/101_44229704_u_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1266.4921	paired	hg38	26602710	26602710	26582120	0.08	7415872.0	27.9	1552846.0	5.84	16958130	1181016.0	15777114	59.35	59.31	12547.0	0.35	0.58	2.21	655272.0	3161752	12615362.0	47.46	47.42	17.2240949235	27782	0.188904637439	1:36:14	12-15-02:53:42
101_48260510_s	ATAC	human	ATAC_UF_SQB101/fastq_files_combined/101_48260510_s_R1.fastq.gz	ATAC_UF_SQB101/fastq_files_combined/101_48260510_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1079.0944	paired	hg38	22755776	22755776	22752556	0.01	5149190.0	22.63	1458832.0	6.41	15656349	1061591.0	14594758	64.15	64.14	8897.0	0.76	0.87	7.57	488185.0	943373	13651385.0	60.0	59.99	14.0517492369	25264	0.175895482474	1:33:31	12-15-02:51:29
101_48260510_u	ATAC	human	ATAC_UF_SQB101/fastq_files_combined/101_48260510_u_R1.fastq.gz	ATAC_UF_SQB101/fastq_files_combined/101_48260510_u_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1068.1781	paired	hg38	22552614	22552614	22549456	0.01	5262314.0	23.34	1420274.0	6.3	15435408	1023630.0	14411778	63.91	63.9	8824.0	0.71	0.84	6.1	431460.0	1142505	13269273.0	58.85	58.84	14.6333566536	25800	0.177666627948	1:52:01	12-15-00:35:34
101_42203510_s	ATAC	human	ATAC_UF_SQB101/fastq_files_combined/101_42203510_s_R1.fastq.gz	ATAC_UF_SQB101/fastq_files_combined/101_42203510_s_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1508.004	paired	hg38	31709078	31709078	31707432	0.01	6724168.0	21.21	1695476.0	5.35	22720875	1496531.0	21224344	66.94	66.93	11396.0	0.76	0.87	7.67	566913.0	1403751	19820593.0	62.51	62.51	18.1119920288	35940	0.31554789161	2:10:49	12-15-00:54:22
