sample_name	protocol	organism	read1	read2	read_type	anno_name	TSS_name	File_mb	Read_type	Genome	Raw_reads	Fastq_reads	Trimmed_reads	Trim_loss_rate	Aligned_reads_rCRSd	Alignment_rate_rCRSd	Aligned_reads_human_repeats	Alignment_rate_human_repeats	Mapped_reads	QC_filtered_reads	Aligned_reads	Alignment_rate	Total_efficiency	Mitochondrial_reads	NRF	PBC1	PBC2	Unmapped_reads	Duplicate_reads	Dedup_aligned_reads	Dedup_alignment_rate	Dedup_total_efficiency	TSS_Score	Peak_count	FRiP	Time	Success
104_40142810_st	ATAC	human	ATAC_UF_SQB103/fastq_files_combined/104_40142810_st_R1.fastq.gz	ATAC_UF_SQB103/fastq_files_combined/104_40142810_st_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	2074.4687	paired	hg38	47259786	47259786	47259290	0.0	4127754.0	8.73	3448420.0	7.3	38683779	3108227.0	35575552	75.28	75.28	6438.0	0.76	0.87	7.4	999337.0	2308410	33267142.0	70.39	70.39	7.92910661254	19731	0.0634541665018	2:49:24	12-16-03:39:51
104_42965310_st	ATAC	human	ATAC_UF_SQB103/fastq_files_combined/104_42965310_st_R1.fastq.gz	ATAC_UF_SQB103/fastq_files_combined/104_42965310_st_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1594.2219	paired	hg38	36176614	36176614	36174994	0.0	2987264.0	8.26	2501540.0	6.92	29968318	2365272.0	27603046	76.3	76.3	3640.0	0.8	0.89	9.16	717872.0	1466965	26136081.0	72.25	72.25	11.6695261315	23783	0.115930430287	2:43:15	12-16-03:33:45
104_42965310_un	ATAC	human	ATAC_UF_SQB103/fastq_files_combined/104_42965310_un_R1.fastq.gz	ATAC_UF_SQB103/fastq_files_combined/104_42965310_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1581.9075	paired	hg38	35207774	35207774	35152808	0.16	2875726.0	8.18	2534068.0	7.21	29014104	2247104.0	26767000	76.14	76.03	4182.0	0.68	0.82	5.47	728910.0	2314069	24452931.0	69.56	69.45	11.2563765858	22446	0.104281615422	7:13:06	12-15-09:25:59
104_44580803_st	ATAC	human	ATAC_UF_SQB103/fastq_files_combined/104_44580803_st_R1.fastq.gz	ATAC_UF_SQB103/fastq_files_combined/104_44580803_st_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1052.4708	paired	hg38	23353908	23353908	23352160	0.01	2145986.0	9.19	1600298.0	6.85	19120320	1536970.0	17583350	75.3	75.29	2793.0	0.77	0.87	7.76	485556.0	1099999	16483351.0	70.59	70.58	11.3381968715	18567	0.0971913770698	2:03:25	12-16-02:54:41
104_44580803_un	ATAC	human	ATAC_UF_SQB103/fastq_files_combined/104_44580803_un_R1.fastq.gz	ATAC_UF_SQB103/fastq_files_combined/104_44580803_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1243.8281	paired	hg38	26946478	26946478	26945816	0.0	3642976.0	13.52	1846564.0	6.85	20932176	1516190.0	19415986	72.06	72.05	5076.0	0.76	0.87	7.55	524100.0	1258133	18157853.0	67.39	67.38	16.0549624825	25486	0.194038973864	4:18:04	12-16-05:08:43
104_47381505_st	ATAC	human	ATAC_UF_SQB103/fastq_files_combined/104_47381505_st_R1.fastq.gz	ATAC_UF_SQB103/fastq_files_combined/104_47381505_st_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1848.1957	paired	hg38	39958288	39958288	39956520	0.0	5957032.0	14.91	2537580.0	6.35	30518938	2358430.0	28160508	70.48	70.47	5829.0	0.68	0.82	5.4	942970.0	2491231	25669277.0	64.24	64.24	14.8086039575	30342	0.185822322523	12:31:20	12-15-14:44:41
104_47381505_un	ATAC	human	ATAC_UF_SQB103/fastq_files_combined/104_47381505_un_R1.fastq.gz	ATAC_UF_SQB103/fastq_files_combined/104_47381505_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1849.035	paired	hg38	42055240	42055240	42053828	0.0	2490034.0	5.92	2920330.0	6.94	35640838	2903040.0	32737798	77.85	77.84	2830.0	0.73	0.85	6.64	1002626.0	2361099	30376699.0	72.23	72.23	10.8074473034	26719	0.101102615393	3:02:32	12-15-01:52:27
104_48442603_st	ATAC	human	ATAC_UF_SQB103/fastq_files_combined/104_48442603_st_R1.fastq.gz	ATAC_UF_SQB103/fastq_files_combined/104_48442603_st_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1578.2243	paired	hg38	35521144	35521144	35519176	0.01	2853664.0	8.03	2536614.0	7.14	29485820	2396100.0	27089720	76.27	76.26	3538.0	0.76	0.87	7.52	643078.0	1740976	25348744.0	71.37	71.36	11.9972749231	22919	0.116648640148	4:42:26	12-16-05:33:07
104_48442603_un	ATAC	human	ATAC_UF_SQB103/fastq_files_combined/104_48442603_un_R1.fastq.gz	ATAC_UF_SQB103/fastq_files_combined/104_48442603_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	854.894	paired	hg38	19337336	19337336	19335906	0.01	1149676.0	5.95	1510784.0	7.81	16287505	1388769.0	14898736	77.05	77.05	1321.0	0.3	0.55	2.17	387941.0	3301261	11597475.0	59.98	59.97	11.5260161005	15439	0.0641745715878	1:55:48	12-15-00:45:55
104_48833210_st	ATAC	human	ATAC_UF_SQB103/fastq_files_combined/104_48833210_st_R1.fastq.gz	ATAC_UF_SQB103/fastq_files_combined/104_48833210_st_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1286.0273	paired	hg38	28577282	28577282	28576422	0.0	2746220.0	9.61	1949304.0	6.82	23183291	1822495.0	21360796	74.75	74.75	4851.0	0.74	0.86	6.9	697607.0	1491674	19869122.0	69.53	69.53	11.484484101	21348	0.116428011391	4:17:51	12-16-05:08:32
