sample_name,protocol,organism,read1,read2,read_type,anno_name,TSS_name
106_42881811_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_42881811_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_42898811_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_42898811_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_42951611_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_42951611_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_42957411_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_42957411_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_43455511_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_43455511_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_44802111_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_44802111_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_45667305_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_45667305_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_45759703_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_45759703_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_46260803_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_46260803_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_47224703_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_47224703_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_47848010_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_47848010_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_49184911_st,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
106_49184911_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
