sample_name,protocol,organism,read1,read2,read_type,anno_name,TSS_name
108_40881610_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_41101810_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_41245505_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_42567205_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_42997511_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_43253105_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_43457305_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_43758006_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_45778711_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_45966204_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_46200810_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_46291005_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_46505905_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_47009505_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_47052401_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_48137505_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_48240511_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_48791811_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_48922901_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_49340711_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_49365910_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_49442910_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_49900210_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
108_49933805_un,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
