sample_name,protocol,organism,read1,read2,read_type,anno_name,TSS_name
102_40113410_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
102_40113410_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
102_40712005_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
102_40712005_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
102_43552505_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
102_43552505_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
102_49630503_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
102_49630503_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
103_43112611_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
103_43112611_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
103_45072410_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
103_45072410_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
103_47301211_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
103_47301211_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
103_48049210_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
103_48049210_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
103_48581811_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
103_48581811_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
103_48584411_s,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
103_48584411_u,ATAC,human,R1,R2,paired,hg38_annotations.bed.gz,hg38_TSS.tsv
