sample_name	protocol	organism	read1	read2	read_type	anno_name	TSS_name	File_mb	Read_type	Genome	Raw_reads	Fastq_reads	Trimmed_reads	Trim_loss_rate	Aligned_reads_rCRSd	Alignment_rate_rCRSd	Aligned_reads_human_repeats	Alignment_rate_human_repeats	Mapped_reads	QC_filtered_reads	Aligned_reads	Alignment_rate	Total_efficiency	Mitochondrial_reads	NRF	PBC1	PBC2	Unmapped_reads	Duplicate_reads	Dedup_aligned_reads	Dedup_alignment_rate	Dedup_total_efficiency	TSS_Score	Peak_count	FRiP	Time	Success
108_40165705_un	ATAC	human	ATAC_UF_SQB106/fastq_files_combined/108_40165705_un_R1.fastq.gz	ATAC_UF_SQB106/fastq_files_combined/108_40165705_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	967.2396	paired	hg38	21971506	21971506	21971400	0.0	6767284.0	30.8	660646.0	3.01	14320237	789465.0	13530772	61.58	61.58	8241.0	0.89	0.94	17.56	223233.0	403806	13126966.0	59.75	59.75	20.5102583206	43362	0.424988906767	3:55:15	12-16-21:36:27
108_40651805_un	ATAC	human	ATAC_UF_SQB106/fastq_files_combined/108_40651805_un_R1.fastq.gz	ATAC_UF_SQB106/fastq_files_combined/108_40651805_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1034.0915	paired	hg38	23725520	23725520	23725442	0.0	4922542.0	20.75	968606.0	4.08	17579273	1095159.0	16484114	69.48	69.48	4458.0	0.9	0.95	18.25	255021.0	453776	16030338.0	67.57	67.57	17.9577139987	35976	0.287386207108	3:01:00	12-16-05:33:47
108_41709010_un	ATAC	human	ATAC_UF_SQB106/fastq_files_combined/108_41709010_un_R1.fastq.gz	ATAC_UF_SQB106/fastq_files_combined/108_41709010_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	998.6682	paired	hg38	22547718	22547718	22547584	0.0	5274386.0	23.39	707720.0	3.14	16288121	938141.0	15349980	68.08	68.08	4987.0	0.89	0.95	18.06	277357.0	448568	14901412.0	66.09	66.09	21.4134941502	46350	0.43192277775	3:58:38	12-17-08:08:47
108_41889711_un	ATAC	human	ATAC_UF_SQB106/fastq_files_combined/108_41889711_un_R1.fastq.gz	ATAC_UF_SQB106/fastq_files_combined/108_41889711_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1087.4895	paired	hg38	24692252	24692252	24692058	0.0	6383880.0	25.85	655042.0	2.65	17342460	923970.0	16418490	66.49	66.49	7108.0	0.88	0.94	16.06	310676.0	577636	15840854.0	64.15	64.15	22.9989183258	53340	0.576536514625	3:44:20	12-16-21:25:32
108_42350404_un	ATAC	human	ATAC_UF_SQB106/fastq_files_combined/108_42350404_un_R1.fastq.gz	ATAC_UF_SQB106/fastq_files_combined/108_42350404_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	908.8116	paired	hg38	21000248	21000248	21000180	0.0	1816322.0	8.65	1300810.0	6.19	17667878	1170658.0	16497220	78.56	78.56	1610.0	0.89	0.94	16.6	215170.0	484921	16012299.0	76.25	76.25	11.7295584196	23724	0.11296709385	3:18:42	12-16-05:51:38
108_42520010_un	ATAC	human	ATAC_UF_SQB106/fastq_files_combined/108_42520010_un_R1.fastq.gz	ATAC_UF_SQB106/fastq_files_combined/108_42520010_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1146.7305	paired	hg38	26422410	26422410	26422370	0.0	2536322.0	9.6	1648956.0	6.24	21941900	1502428.0	20439472	77.36	77.36	2257.0	0.91	0.95	20.06	295192.0	493344	19946128.0	75.49	75.49	10.1370227922	21598	0.0818503530815	3:53:59	12-17-08:04:08
108_42698703_un	ATAC	human	ATAC_UF_SQB106/fastq_files_combined/108_42698703_un_R1.fastq.gz	ATAC_UF_SQB106/fastq_files_combined/108_42698703_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1115.3141	paired	hg38	25448362	25448362	25448312	0.0	4853894.0	19.07	1024560.0	4.03	19304115	1164727.0	18139388	71.28	71.28	5495.0	0.9	0.95	18.43	265743.0	495618	17643770.0	69.33	69.33	18.1683924889	38339	0.265824789679	10:39:17	12-16-13:17:13
108_43460003_un	ATAC	human	ATAC_UF_SQB106/fastq_files_combined/108_43460003_un_R1.fastq.gz	ATAC_UF_SQB106/fastq_files_combined/108_43460003_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	945.3869	paired	hg38	21855764	21855764	21855698	0.0	3308734.0	15.14	1104390.0	5.05	17206536	1155520.0	16051016	73.44	73.44	2468.0	0.91	0.95	19.99	236038.0	392251	15658765.0	71.65	71.65	14.1255884586	26731	0.153093797925	2:59:40	12-16-20:40:52
108_43909803_un	ATAC	human	ATAC_UF_SQB106/fastq_files_combined/108_43909803_un_R1.fastq.gz	ATAC_UF_SQB106/fastq_files_combined/108_43909803_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	1012.4818	paired	hg38	23395740	23395740	23393346	0.01	3798126.0	16.24	1107898.0	4.74	18215096	1122430.0	17092666	73.07	73.06	3098.0	0.89	0.94	17.26	272226.0	496294	16596372.0	70.94	70.94	17.4433344737	35016	0.261164583688	1:58:35	12-16-19:39:59
108_44057805_un	ATAC	human	ATAC_UF_SQB106/fastq_files_combined/108_44057805_un_R1.fastq.gz	ATAC_UF_SQB106/fastq_files_combined/108_44057805_un_R2.fastq.gz	paired	hg38_annotations.bed.gz	hg38_TSS.tsv	967.3063	paired	hg38	22054864	22054864	22054782	0.0	7167182.0	32.5	611674.0	2.77	13040407	763281.0	12277126	55.67	55.67	6132.0	0.9	0.95	18.74	1235519.0	338928	11938198.0	54.13	54.13	19.6532483781	37672	0.367709185358	2:29:12	12-16-20:10:19
